Kayıt 1: 		 Küme 3
Kayıt 59: 		 Küme 0
Kayıt 60: 		 Küme 3
Kayıt 61: 		 Küme 1
Kayıt 62: 		 Küme 3
Kayıt 63: 		 Küme 1
Kayıt 64: 		 Küme 3
Kayıt 65: 		 Küme 1
Kayıt 66: 		 Küme 3
Kayıt 67: 		 Küme 3
Kayıt 68: 		 Küme 3
Kayıt 69: 		 Küme 1
Kayıt 70: 		 Küme 1
Kayıt 71: 		 Küme 0
Kayıt 72: 		 Küme 1
Kayıt 73: 		 Küme 1
Kayıt 74: 		 Küme 1
Kayıt 75: 		 Küme 1
Kayıt 76: 		 Küme 3
Kayıt 77: 		 Küme 1
Kayıt 78: 		 Küme 3
Kayıt 79: 		 Küme 3
Kayıt 80: 		 Küme 3
Kayıt 81: 		 Küme 3
Kayıt 82: 		 Küme 3
Kayıt 83: 		 Küme 3
Kayıt 84: 		 Küme 1
Kayıt 85: 		 Küme 3
Kayıt 86: 		 Küme 3
Kayıt 87: 		 Küme 1
Kayıt 88: 		 Küme 3
Kayıt 89: 		 Küme 3
Kayıt 90: 		 Küme 1
Kayıt 91: 		 Küme 0
Kayıt 92: 		 Küme 3
Kayıt 93: 		 Küme 3
Kayıt 94: 		 Küme 1
Kayıt 95: 		 Küme 3
Kayıt 96: 		 Küme 3
Kayıt 97: 		 Küme 3
Kayıt 98: 		 Küme 0
Kayıt 99: 		 Küme 1
Kayıt 100: 		 Küme 3
Kayıt 101: 		 Küme 3
Kayıt 102: 		 Küme 3
Kayıt 103: 		 Küme 1
Kayıt 104: 		 Küme 3
Kayıt 105: 		 Küme 3
Kayıt 106: 		 Küme 1
Kayıt 107: 		 Küme 1
Kayıt 108: 		 Küme 3
Kayıt 109: 		 Küme 1
Kayıt 110: 		 Küme 1
Kayıt 111: 		 Küme 1
Kayıt 112: 		 Küme 1
Kayıt 113: 		 Küme 1
Kayıt 114: 		 Küme 1
Kayıt 115: 		 Küme 1
Kayıt 116: 		 Küme 1
Kayıt 117: 		 Küme 0
Kayıt 118: 		 Küme 1
Kayıt 119: 		 Küme 1
Kayıt 120: 		 Küme 1
Kayıt 121: 		 Küme 1
Kayıt 122: 		 Küme 1
Kayıt 123: 		 Küme 1
Kayıt 124: 		 Küme 1
Kayıt 125: 		 Küme 1
Kayıt 126: 		 Küme 2
Kayıt 127: 		 Küme 1
Kayıt 128: 		 Küme 1
Kayıt 129: 		 Küme 1
Kayıt 130: 		 Küme 0
Kayıt 131: 		 Küme 2
Kayıt 132: 		 Küme 1
Kayıt 133: 		 Küme 1
Kayıt 134: 		 Küme 1
Kayıt 135: 		 Küme 1
Kayıt 136: 		 Küme 1
Kayıt 137: 		 Küme 0
Kayıt 138: 		 Küme 1
Kayıt 139: 		 Küme 1
Kayıt 140: 		 Küme 1
Kayıt 141: 		 Küme 1
Kayıt 142: 		 Küme 1
Kayıt 143: 		 Küme 1
Kayıt 144: 		 Küme 0
Kayıt 145: 		 Küme 1
Kayıt 146: 		 Küme 0
Kayıt 147: 		 Küme 1
Kayıt 148: 		 Küme 1
Kayıt 149: 		 Küme 0
Kayıt 150: 		 Küme 1
Kayıt 151: 		 Küme 1
Kayıt 152: 		 Küme 1
Kayıt 153: 		 Küme 1
Kayıt 154: 		 Küme 1
Kayıt 155: 		 Küme 1
Kayıt 156: 		 Küme 1
Kayıt 157: 		 Küme 1
Kayıt 158: 		 Küme 1
Kayıt 159: 		 Küme 0
Kayıt 160: 		 Küme 1
Kayıt 161: 		 Küme 0
Kayıt 162: 		 Küme 0
Kayıt 163: 		 Küme 0
Kayıt 164: 		 Küme 1
Kayıt 165: 		 Küme 1
Kayıt 166: 		 Küme 0
Kayıt 167: 		 Küme 2
Kayıt 168: 		 Küme 2
Kayıt 169: 		 Küme 0
Kayıt 170: 		 Küme 2
Kayıt 171: 		 Küme 2
Kayıt 172: 		 Küme 2
Kayıt 173: 		 Küme 2
Kayıt 174: 		 Küme 2
Kayıt 175: 		 Küme 2
Kayıt 176: 		 Küme 0
Kayıt 177: 		 Küme 2
Kayıt 178: 		 Küme 2
Kayıt 179: 		 Küme 2
Kayıt 180: 		 Küme 0
Kayıt 181: 		 Küme 2
Kayıt 182: 		 Küme 2
Kayıt 183: 		 Küme 2
Kayıt 184: 		 Küme 0
Kayıt 185: 		 Küme 2
Kayıt 186: 		 Küme 0
Kayıt 187: 		 Küme 2
Kayıt 188: 		 Küme 2
Kayıt 189: 		 Küme 2
Kayıt 190: 		 Küme 2
Kayıt 191: 		 Küme 0
Kayıt 192: 		 Küme 2
Kayıt 193: 		 Küme 2
Kayıt 194: 		 Küme 2
Kayıt 195: 		 Küme 0
Kayıt 196: 		 Küme 2
Kayıt 197: 		 Küme 2
Kayıt 198: 		 Küme 2
Kayıt 199: 		 Küme 2
Kayıt 200: 		 Küme 0
Kayıt 201: 		 Küme 2
Kayıt 202: 		 Küme 2
Kayıt 203: 		 Küme 0
Kayıt 204: 		 Küme 2
Kayıt 205: 		 Küme 0
Kayıt 206: 		 Küme 2
Kayıt 207: 		 Küme 1
Kayıt 208: 		 Küme 2
Kayıt 209: 		 Küme 2
Kayıt 210: 		 Küme 0
Kayıt 211: 		 Küme 2
Kayıt 212: 		 Küme 2
Kayıt 213: 		 Küme 0
Kayıt 214: 		 Küme 0
Kayıt 215: 		 Küme 0
Kayıt 216: 		 Küme 2
Kayıt 217: 		 Küme 2
Kayıt 218: 		 Küme 0
Kayıt 219: 		 Küme 2
Kayıt 220: 		 Küme 2
Kayıt 221: 		 Küme 2
Kayıt 222: 		 Küme 2
Kayıt 223: 		 Küme 2
Kayıt 224: 		 Küme 2
Kayıt 225: 		 Küme 0
Kayıt 226: 		 Küme 2
Kayıt 227: 		 Küme 2
Kayıt 228: 		 Küme 0
Kayıt 229: 		 Küme 2
Kayıt 230: 		 Küme 2
Kayıt 231: 		 Küme 2
Kayıt 232: 		 Küme 0
Kayıt 233: 		 Küme 2
Kayıt 234: 		 Küme 2
Kayıt 235: 		 Küme 2
Kayıt 236: 		 Küme 2
Kayıt 237: 		 Küme 0
Kayıt 238: 		 Küme 1
Kayıt 239: 		 Küme 2
Kayıt 240: 		 Küme 2
Kayıt 241: 		 Küme 0
Kayıt 242: 		 Küme 2
Kayıt 243: 		 Küme 2
Kayıt 244: 		 Küme 2
Kayıt 245: 		 Küme 2
Kayıt 246: 		 Küme 2
Kayıt 247: 		 Küme 2
Kayıt 248: 		 Küme 2
Kayıt 249: 		 Küme 2

Küme 0: 36
Küme 1: 66
Küme 2: 63
Küme 3: 84

WCSS: 128.341106178911
BCSS: 2337.329396848469
Dunn Index: 0.5001586935348061
