Kayıt 1: 		 Küme 1
Kayıt 64: 		 Küme 3
Kayıt 65: 		 Küme 1
Kayıt 66: 		 Küme 3
Kayıt 67: 		 Küme 3
Kayıt 68: 		 Küme 1
Kayıt 69: 		 Küme 1
Kayıt 70: 		 Küme 1
Kayıt 71: 		 Küme 1
Kayıt 72: 		 Küme 3
Kayıt 73: 		 Küme 1
Kayıt 74: 		 Küme 3
Kayıt 75: 		 Küme 3
Kayıt 76: 		 Küme 1
Kayıt 77: 		 Küme 3
Kayıt 78: 		 Küme 1
Kayıt 79: 		 Küme 3
Kayıt 80: 		 Küme 1
Kayıt 81: 		 Küme 3
Kayıt 82: 		 Küme 1
Kayıt 83: 		 Küme 1
Kayıt 84: 		 Küme 1
Kayıt 85: 		 Küme 3
Kayıt 86: 		 Küme 3
Kayıt 87: 		 Küme 1
Kayıt 88: 		 Küme 1
Kayıt 89: 		 Küme 3
Kayıt 90: 		 Küme 3
Kayıt 91: 		 Küme 1
Kayıt 92: 		 Küme 1
Kayıt 93: 		 Küme 3
Kayıt 94: 		 Küme 1
Kayıt 95: 		 Küme 3
Kayıt 96: 		 Küme 3
Kayıt 97: 		 Küme 1
Kayıt 98: 		 Küme 1
Kayıt 99: 		 Küme 3
Kayıt 100: 		 Küme 3
Kayıt 101: 		 Küme 1
Kayıt 102: 		 Küme 3
Kayıt 103: 		 Küme 1
Kayıt 104: 		 Küme 3
Kayıt 105: 		 Küme 1
Kayıt 106: 		 Küme 3
Kayıt 107: 		 Küme 1
Kayıt 108: 		 Küme 3
Kayıt 109: 		 Küme 3
Kayıt 110: 		 Küme 2
Kayıt 111: 		 Küme 3
Kayıt 112: 		 Küme 3
Kayıt 113: 		 Küme 0
Kayıt 114: 		 Küme 2
Kayıt 115: 		 Küme 0
Kayıt 116: 		 Küme 2
Kayıt 117: 		 Küme 2
Kayıt 118: 		 Küme 0
Kayıt 119: 		 Küme 2
Kayıt 120: 		 Küme 3
Kayıt 121: 		 Küme 0
Kayıt 122: 		 Küme 0
Kayıt 123: 		 Küme 0
Kayıt 124: 		 Küme 2
Kayıt 125: 		 Küme 3
Kayıt 126: 		 Küme 2
Kayıt 127: 		 Küme 0
Kayıt 128: 		 Küme 0
Kayıt 129: 		 Küme 3
Kayıt 130: 		 Küme 2
Kayıt 131: 		 Küme 2
Kayıt 132: 		 Küme 3
Kayıt 133: 		 Küme 0
Kayıt 134: 		 Küme 3
Kayıt 135: 		 Küme 0
Kayıt 136: 		 Küme 3
Kayıt 137: 		 Küme 2
Kayıt 138: 		 Küme 0
Kayıt 139: 		 Küme 2
Kayıt 140: 		 Küme 3
Kayıt 141: 		 Küme 2
Kayıt 142: 		 Küme 3
Kayıt 143: 		 Küme 1
Kayıt 144: 		 Küme 2
Kayıt 145: 		 Küme 3
Kayıt 146: 		 Küme 2
Kayıt 147: 		 Küme 0
Kayıt 148: 		 Küme 3
Kayıt 149: 		 Küme 2
Kayıt 150: 		 Küme 0
Kayıt 151: 		 Küme 0
Kayıt 152: 		 Küme 0
Kayıt 153: 		 Küme 0
Kayıt 154: 		 Küme 3
Kayıt 155: 		 Küme 3
Kayıt 156: 		 Küme 3
Kayıt 157: 		 Küme 2
Kayıt 158: 		 Küme 0
Kayıt 159: 		 Küme 2
Kayıt 160: 		 Küme 2
Kayıt 161: 		 Küme 2
Kayıt 162: 		 Küme 2
Kayıt 163: 		 Küme 2
Kayıt 164: 		 Küme 0
Kayıt 165: 		 Küme 0
Kayıt 166: 		 Küme 2
Kayıt 167: 		 Küme 0
Kayıt 168: 		 Küme 0
Kayıt 169: 		 Küme 2
Kayıt 170: 		 Küme 2
Kayıt 171: 		 Küme 0
Kayıt 172: 		 Küme 0
Kayıt 173: 		 Küme 0
Kayıt 174: 		 Küme 0
Kayıt 175: 		 Küme 2
Kayıt 176: 		 Küme 2
Kayıt 177: 		 Küme 0
Kayıt 178: 		 Küme 2
Kayıt 179: 		 Küme 0
Kayıt 180: 		 Küme 2
Kayıt 181: 		 Küme 0
Kayıt 182: 		 Küme 0
Kayıt 183: 		 Küme 2
Kayıt 184: 		 Küme 2
Kayıt 185: 		 Küme 0
Kayıt 186: 		 Küme 2
Kayıt 187: 		 Küme 0
Kayıt 188: 		 Küme 0
Kayıt 189: 		 Küme 0
Kayıt 190: 		 Küme 2
Kayıt 191: 		 Küme 2
Kayıt 192: 		 Küme 0
Kayıt 193: 		 Küme 0
Kayıt 194: 		 Küme 0
Kayıt 195: 		 Küme 2
Kayıt 196: 		 Küme 0
Kayıt 197: 		 Küme 2
Kayıt 198: 		 Küme 2
Kayıt 199: 		 Küme 0
Kayıt 200: 		 Küme 2
Kayıt 201: 		 Küme 2
Kayıt 202: 		 Küme 0
Kayıt 203: 		 Küme 2
Kayıt 204: 		 Küme 0
Kayıt 205: 		 Küme 2
Kayıt 206: 		 Küme 0
Kayıt 207: 		 Küme 2
Kayıt 208: 		 Küme 0
Kayıt 209: 		 Küme 2
Kayıt 210: 		 Küme 2
Kayıt 211: 		 Küme 2
Kayıt 212: 		 Küme 0
Kayıt 213: 		 Küme 2
Kayıt 214: 		 Küme 2
Kayıt 215: 		 Küme 2
Kayıt 216: 		 Küme 0
Kayıt 217: 		 Küme 2
Kayıt 218: 		 Küme 2
Kayıt 219: 		 Küme 0
Kayıt 220: 		 Küme 0
Kayıt 221: 		 Küme 0
Kayıt 222: 		 Küme 0
Kayıt 223: 		 Küme 2
Kayıt 224: 		 Küme 0
Kayıt 225: 		 Küme 2
Kayıt 226: 		 Küme 0
Kayıt 227: 		 Küme 0
Kayıt 228: 		 Küme 2
Kayıt 229: 		 Küme 2
Kayıt 230: 		 Küme 2
Kayıt 231: 		 Küme 2
Kayıt 232: 		 Küme 2
Kayıt 233: 		 Küme 2
Kayıt 234: 		 Küme 0
Kayıt 235: 		 Küme 2
Kayıt 236: 		 Küme 0
Kayıt 237: 		 Küme 2
Kayıt 238: 		 Küme 1
Kayıt 239: 		 Küme 0
Kayıt 240: 		 Küme 0
Kayıt 241: 		 Küme 2
Kayıt 242: 		 Küme 0
Kayıt 243: 		 Küme 0
Kayıt 244: 		 Küme 0
Kayıt 245: 		 Küme 2
Kayıt 246: 		 Küme 0
Kayıt 247: 		 Küme 2
Kayıt 248: 		 Küme 2
Kayıt 249: 		 Küme 2

Küme 0: 59
Küme 1: 66
Küme 2: 65
Küme 3: 59

WCSS: 114.9456462333752
BCSS: 2246.9643654670117
Dunn Index: 0.40440478487058107
