Kayıt 1: 		 Küme 2
Kayıt 68: 		 Küme 0
Kayıt 69: 		 Küme 0
Kayıt 70: 		 Küme 0
Kayıt 71: 		 Küme 0
Kayıt 72: 		 Küme 0
Kayıt 73: 		 Küme 0
Kayıt 74: 		 Küme 0
Kayıt 75: 		 Küme 0
Kayıt 76: 		 Küme 2
Kayıt 77: 		 Küme 0
Kayıt 78: 		 Küme 2
Kayıt 79: 		 Küme 2
Kayıt 80: 		 Küme 2
Kayıt 81: 		 Küme 0
Kayıt 82: 		 Küme 2
Kayıt 83: 		 Küme 2
Kayıt 84: 		 Küme 0
Kayıt 85: 		 Küme 2
Kayıt 86: 		 Küme 2
Kayıt 87: 		 Küme 0
Kayıt 88: 		 Küme 2
Kayıt 89: 		 Küme 0
Kayıt 90: 		 Küme 0
Kayıt 91: 		 Küme 0
Kayıt 92: 		 Küme 0
Kayıt 93: 		 Küme 2
Kayıt 94: 		 Küme 0
Kayıt 95: 		 Küme 2
Kayıt 96: 		 Küme 2
Kayıt 97: 		 Küme 0
Kayıt 98: 		 Küme 0
Kayıt 99: 		 Küme 0
Kayıt 100: 		 Küme 2
Kayıt 101: 		 Küme 0
Kayıt 102: 		 Küme 2
Kayıt 103: 		 Küme 0
Kayıt 104: 		 Küme 0
Kayıt 105: 		 Küme 2
Kayıt 106: 		 Küme 0
Kayıt 107: 		 Küme 0
Kayıt 108: 		 Küme 0
Kayıt 109: 		 Küme 0
Kayıt 110: 		 Küme 1
Kayıt 111: 		 Küme 0
Kayıt 112: 		 Küme 0
Kayıt 113: 		 Küme 0
Kayıt 114: 		 Küme 0
Kayıt 115: 		 Küme 0
Kayıt 116: 		 Küme 0
Kayıt 117: 		 Küme 1
Kayıt 118: 		 Küme 0
Kayıt 119: 		 Küme 0
Kayıt 120: 		 Küme 0
Kayıt 121: 		 Küme 0
Kayıt 122: 		 Küme 0
Kayıt 123: 		 Küme 0
Kayıt 124: 		 Küme 0
Kayıt 125: 		 Küme 0
Kayıt 126: 		 Küme 1
Kayıt 127: 		 Küme 0
Kayıt 128: 		 Küme 0
Kayıt 129: 		 Küme 0
Kayıt 130: 		 Küme 1
Kayıt 131: 		 Küme 1
Kayıt 132: 		 Küme 0
Kayıt 133: 		 Küme 0
Kayıt 134: 		 Küme 0
Kayıt 135: 		 Küme 0
Kayıt 136: 		 Küme 0
Kayıt 137: 		 Küme 0
Kayıt 138: 		 Küme 0
Kayıt 139: 		 Küme 0
Kayıt 140: 		 Küme 0
Kayıt 141: 		 Küme 0
Kayıt 142: 		 Küme 0
Kayıt 143: 		 Küme 0
Kayıt 144: 		 Küme 0
Kayıt 145: 		 Küme 0
Kayıt 146: 		 Küme 1
Kayıt 147: 		 Küme 0
Kayıt 148: 		 Küme 0
Kayıt 149: 		 Küme 0
Kayıt 150: 		 Küme 0
Kayıt 151: 		 Küme 0
Kayıt 152: 		 Küme 0
Kayıt 153: 		 Küme 0
Kayıt 154: 		 Küme 0
Kayıt 155: 		 Küme 0
Kayıt 156: 		 Küme 0
Kayıt 157: 		 Küme 1
Kayıt 158: 		 Küme 0
Kayıt 159: 		 Küme 0
Kayıt 160: 		 Küme 0
Kayıt 161: 		 Küme 1
Kayıt 162: 		 Küme 1
Kayıt 163: 		 Küme 1
Kayıt 164: 		 Küme 0
Kayıt 165: 		 Küme 0
Kayıt 166: 		 Küme 1
Kayıt 167: 		 Küme 1
Kayıt 168: 		 Küme 1
Kayıt 169: 		 Küme 1
Kayıt 170: 		 Küme 1
Kayıt 171: 		 Küme 1
Kayıt 172: 		 Küme 1
Kayıt 173: 		 Küme 1
Kayıt 174: 		 Küme 1
Kayıt 175: 		 Küme 1
Kayıt 176: 		 Küme 1
Kayıt 177: 		 Küme 1
Kayıt 178: 		 Küme 1
Kayıt 179: 		 Küme 1
Kayıt 180: 		 Küme 1
Kayıt 181: 		 Küme 1
Kayıt 182: 		 Küme 1
Kayıt 183: 		 Küme 1
Kayıt 184: 		 Küme 1
Kayıt 185: 		 Küme 1
Kayıt 186: 		 Küme 1
Kayıt 187: 		 Küme 1
Kayıt 188: 		 Küme 1
Kayıt 189: 		 Küme 1
Kayıt 190: 		 Küme 1
Kayıt 191: 		 Küme 1
Kayıt 192: 		 Küme 1
Kayıt 193: 		 Küme 1
Kayıt 194: 		 Küme 1
Kayıt 195: 		 Küme 1
Kayıt 196: 		 Küme 1
Kayıt 197: 		 Küme 1
Kayıt 198: 		 Küme 1
Kayıt 199: 		 Küme 1
Kayıt 200: 		 Küme 1
Kayıt 201: 		 Küme 1
Kayıt 202: 		 Küme 1
Kayıt 203: 		 Küme 1
Kayıt 204: 		 Küme 1
Kayıt 205: 		 Küme 1
Kayıt 206: 		 Küme 1
Kayıt 207: 		 Küme 1
Kayıt 208: 		 Küme 1
Kayıt 209: 		 Küme 1
Kayıt 210: 		 Küme 1
Kayıt 211: 		 Küme 1
Kayıt 212: 		 Küme 1
Kayıt 213: 		 Küme 1
Kayıt 214: 		 Küme 1
Kayıt 215: 		 Küme 1
Kayıt 216: 		 Küme 1
Kayıt 217: 		 Küme 1
Kayıt 218: 		 Küme 1
Kayıt 219: 		 Küme 1
Kayıt 220: 		 Küme 1
Kayıt 221: 		 Küme 1
Kayıt 222: 		 Küme 1
Kayıt 223: 		 Küme 1
Kayıt 224: 		 Küme 1
Kayıt 225: 		 Küme 1
Kayıt 226: 		 Küme 1
Kayıt 227: 		 Küme 1
Kayıt 228: 		 Küme 1
Kayıt 229: 		 Küme 1
Kayıt 230: 		 Küme 1
Kayıt 231: 		 Küme 1
Kayıt 232: 		 Küme 1
Kayıt 233: 		 Küme 1
Kayıt 234: 		 Küme 1
Kayıt 235: 		 Küme 1
Kayıt 236: 		 Küme 1
Kayıt 237: 		 Küme 1
Kayıt 238: 		 Küme 0
Kayıt 239: 		 Küme 1
Kayıt 240: 		 Küme 1
Kayıt 241: 		 Küme 1
Kayıt 242: 		 Küme 1
Kayıt 243: 		 Küme 1
Kayıt 244: 		 Küme 1
Kayıt 245: 		 Küme 1
Kayıt 246: 		 Küme 1
Kayıt 247: 		 Küme 1
Kayıt 248: 		 Küme 1
Kayıt 249: 		 Küme 1

Küme 0: 83
Küme 1: 94
Küme 2: 72

WCSS: 52.16653100992602
BCSS: 1392.0187562481403
Dunn Index: 0.4099983501172416
